Name,Age,Department,City
Amit,24,ML,Ahmedabad
,23,Sales,Rajkot
Karan,24,AI,Rajkot
Karan,23,Sales,
Simran,21,ML,Vadodara
Neha,25,Support,Rajkot
,24,,Vadodara
Raj,24,AI,Surat
Karan,25,Support,
Simran,,AI,Vadodara
Neha,,Support,Rajkot
Riya,,AI,
Jay,25,HR,Vadodara
Riya,25,ML,Ahmedabad
Raj,22,HR,Rajkot
Simran,25,AI,Vadodara
Amit,23,AI,Ahmedabad
Jay,,AI,Vadodara
Riya,24,Sales,Vadodara
Raj,23,ML,Vadodara
Riya,25,AI,Ahmedabad
Karan,25,Sales,Ahmedabad
Riya,24,AI,Surat
Amit,,AI,Ahmedabad
Neha,24,AI,Ahmedabad
Amit,,ML,Vadodara
Simran,22,Support,
Raj,,HR,Ahmedabad
Jay,21,Support,
Priya,22,AI,Vadodara
